BYCOND,DemoQ,DemQ_E,DemQ_F,OrderKey,OrderOCHRO
C_Q38 = 1,C_Q38,Role,Rôle,,
C_Q38 = 2,C_Q38,Role,Rôle,,
M_D105 = 1,M_D105,Years@PS,Années@FP,,
M_D105 = 2,M_D105,Years@PS,Années@FP,,
M_D105 = 3,M_D105,Years@PS,Années@FP,,
M_D105 = 4,M_D105,Years@PS,Années@FP,,
M_D106 = 1,M_D106,Years@Dept,Années@Min,,
M_D106 = 2,M_D106,Years@Dept,Années@Min,,
M_D106 = 3,M_D106,Years@Dept,Années@Min,,
M_D106 = 4,M_D106,Years@Dept,Années@Min,,
M_D111 = 3,M_D111,Region (D111),Région (D111),,
M_D111 = 6,M_D111,Region (D111),Région (D111),,
M_Q103A = 011,M_Q103A,Group,Groupe,GRP_AS-00,
M_Q103A = 023,M_Q103A,Group,Groupe,GRP_CR-00,
M_Q103A = 024,M_Q103A,Group,Groupe,GRP_CS-00,
M_Q103A = 033,M_Q103A,Group,Groupe,GRP_EC-00,
M_Q103A = 041,M_Q103A,Group,Groupe,GRP_EX-00,
M_Q103A = 044,M_Q103A,Group,Groupe,GRP_FI-00,
M_Q103A = 060,M_Q103A,Group,Groupe,GRP_IS-00,
M_Q103A = 083,M_Q103A,Group,Groupe,GRP_PE-00,10
M_Q103A = 088,M_Q103A,Group,Groupe,GRP_PM-00,
M_Q103A = 121,M_Q103A,Group,Groupe,GRP_ZZ-Student,
M_Q104 = 5,M_Q104,Community,Communauté,4,
M_Q104 = 12,M_Q104,Community,Communauté,,9
M_Q107 = 1,M_Q107,Official language,Langue officielle,,
M_Q107 = 2,M_Q107,Official language,Langue officielle,,
M_Q108 = 1,M_Q108,Language requirement,Exigences linguistiques ,,
M_Q108 = 2,M_Q108,Language requirement,Exigences linguistiques ,,
M_Q108 = 4,M_Q108,Language requirement,Exigences linguistiques ,,
M_Q109 = 1,M_Q109,Service to public,Services au public,,
M_Q109 = 2,M_Q109,Service to public,Services au public,,
M_Q110 = 1,M_Q110,Language of service,Langue du service,,
M_Q110 = 3,M_Q110,Language of service,Langue du service,,
M_Q111 = 1,M_Q111,Region (Q111),Région (Q111),,
M_Q111 = 2,M_Q111,Region (Q111),Région (Q111),,
M_Q112 = 5,M_Q112,Region (Q112),Région (Q112),,
M_Q113 = 1,M_Q113,Age,Âge,,
M_Q113 = 2,M_Q113,Age,Âge,,
M_Q113 = 3,M_Q113,Age,Âge,,
M_Q113 = 4,M_Q113,Age,Âge,,
M_Q113 = 5,M_Q113,Age,Âge,,
M_Q113 = 6,M_Q113,Age,Âge,,
M_Q113 = 7,M_Q113,Age,Âge,,
M_Q113 = 8,M_Q113,Age,Âge,,
M_Q113 = 9,M_Q113,Age,Âge,,
M_Q114 = 1,M_Q114,Gender,Genre,,
M_Q114 = 2,M_Q114,Gender,Genre,,
M_Q116 = 1,M_Q116,Aboriginal status,Statut authochtone,,
M_Q116 = 2,M_Q116,Aboriginal status,Statut authochtone,,
M_Q117 = 1,M_Q117,Disability,Handicap,,
M_Q117 = 2,M_Q117,Disability,Handicap,,
M_Q118 = 1,M_Q118,Visible minority,Minorité visible,,
M_Q118 = 2,M_Q118,Visible minority,Minorité visible,,
M_Q119 = 1,M_Q119,Served in military,Servi dans les forces,,
M_Q119 = 2,M_Q119,Served in military,Servi dans les forces,,
OCCLEVEL = 140,OCCLEVEL,CR,CR,GRP_CR-05,
OCCLEVEL = 142,OCCLEVEL,CS,CS,GRP_CS-01,
OCCLEVEL = 143,OCCLEVEL,CS,CS,GRP_CS-02,
OCCLEVEL = 144,OCCLEVEL,CS,CS,GRP_CS-03,
OCCLEVEL = 145,OCCLEVEL,CS,CS,GRP_CS-04,
OCCLEVEL = 188,OCCLEVEL,EC,EC,GRP_EC-02,
OCCLEVEL = 189,OCCLEVEL,EC,EC,GRP_EC-03,
OCCLEVEL = 190,OCCLEVEL,EC,EC,GRP_EC-04,
OCCLEVEL = 191,OCCLEVEL,EC,EC,GRP_EC-05,
OCCLEVEL = 192,OCCLEVEL,EC,EC,GRP_EC-06,
OCCLEVEL = 193,OCCLEVEL,EC,EC,GRP_EC-07,
