DESCRIP_E,DESCRIP_F,n,Client expectations,Strategic alignment,Internal innovation activities,External innovation activities,Organization,Culture
Treasury Board of Canada Secretariat                   ,Secrétariat du Conseil du Trésor du Canada                           ,343,3.042673132,2.095836256,2.243540079,2.559838148,2.323557767,2.237243342
Chief Information Officer Branch                       ,Direction du dirigeant principal de l'information                    ,25,2.833823529,1.894631222,2.293458851,2.297073297,2.2707744,2.243780516
Expenditure Management Sector                          ,Secteur de la gestion des dépenses                                   ,22,2.353125,1.31625,1.788438914,2.081481481,2.109653971,2.201806124
Office of the Chief Human Resources Officer            ,Bureau du dirigeant principal des ressources humaines                ,69,3.221818182,1.858068627,2.039935897,2.504852446,2.222645882,2.006760359
Office of the Comptroller General                      ,Bureau du contrôleur général                                         ,73,3.220386905,2.098561727,2.079375749,2.598483835,2.269222595,2.183417367
Regulatory Affairs Sector                              ,Secteur des affaires réglementaires                                  ,17,2.566666667,1.5375,1.782310606,-,1.938279857,1.934919198
Economic Sector                                        ,Secteur des programmes économiques                                   ,13,3.0525,3.021375,2.7075,2.617171717,2.456830065,2.823190731
Government Operations Sector                           ,Secteur des opérations gouvernementales                              ,13,2.95,1.5775,1.701984127,1.636363636,2.097665733,1.940697734
"International Affairs, Security and Justice Sector     ","Secteur des affaires internationales, de la sécurité et de la justice",-,-,-,-,-,-,-
Social and Cultural Sector                             ,Secteur des programmes sociaux et culturels                          ,12,-,2.3425,2.948809524,2.97979798,2.799754902,2.473850267
Corporate Services Sector                              ,Secteur des services ministériels                                    ,13,3.665,2.536,3.228175991,3.402693603,2.581158645,2.239037433
Human Resources Division                               ,Division des ressources humaines                                     ,27,3.325,2.70225,2.120075758,2.178451178,2.427020784,2.463472061
Internal Audit and Evaluation Bureau                   ,Bureau de la vérification interne et de l'évaluation                 ,18,2.46,2.10425,2.258368347,2.716498316,2.259819633,2.132972525
Legal Services                                         ,Services juridiques                                                  ,-,-,-,-,-,-,-
Priorities and Planning Sector                         ,Secteur des priorités et de la planification                         ,12,2.8625,2.66,1.833080808,-,2.346823982,2.384705882
Strategic Communications and Ministerial Affairs Sector,Secteur des communications stratégiques et affaires ministérielles,11,3.65,-,-,-,3.063669468,2.893930481
