QUESTION,QTheme_E,QSubTheme_E,QSection_E,QTheme_F,QSubTheme_F,QSection_F
A_Q01,Workplace,Physical environment and equipment,My Job,Milieu de travail,Environnement physique et équipement,Mon travail
A_Q02,Workplace,Use of official languages,My Job,Milieu de travail,Utilisation des langues officielles,Mon travail
A_Q03,Workplace,Use of official languages,My Job,Milieu de travail,Utilisation des langues officielles,Mon travail
A_Q04,Workplace,Physical environment and equipment,My Job,Milieu de travail,Environnement physique et équipement,Mon travail
A_Q05,Workforce,Job fit and development,My Job,Effectif,Compatibilité entre la personne et l'emploi et perfectionnement,Mon travail
A_Q06,Workforce,Job fit and development,My Job,Effectif,Compatibilité entre la personne et l'emploi et perfectionnement,Mon travail
A_Q07,Workforce,Job fit and development,My Job,Effectif,Compatibilité entre la personne et l'emploi et perfectionnement,Mon travail
A_Q08,Workplace,Physical environment and equipment,My Job,Milieu de travail,Environnement physique et équipement,Mon travail
A_Q09,Workforce,Work-life balance and workload,My Job,Effectif,Équilibre travail-vie privée et charge de travail,Mon travail
A_Q10,Workforce,Work-life balance and workload,My Job,Effectif,Équilibre travail-vie privée et charge de travail,Mon travail
A_Q11,Employee engagement,Employee engagement,My Job,Mobilisation des employés,Mobilisation des employés,Mon travail
A_Q12,Workforce,Performance management,My Job,Effectif,Gestion du rendement,Mon travail
A_Q13,Workforce,Performance management,My Job,Effectif,Gestion du rendement,Mon travail
A_Q14,Workforce,Performance management,My Job,Effectif,Gestion du rendement,Mon travail
A_Q14,Workplace,Organizational goals,My Job,Milieu de travail,Objectifs organisationnels,Mon travail
A_Q15,Employee engagement,Employee engagement,My Job,Mobilisation des employés,Mobilisation des employés,Mon travail
A_Q16,Employee engagement,Employee engagement,My Job,Mobilisation des employés,Mobilisation des employés,Mon travail
A_Q17,Workforce,Empowerment,My Job,Effectif,Habilitation,Mon travail
A_Q18,Workforce,Empowerment,My Job,Effectif,Habilitation,Mon travail
A_Q19,Workforce,Empowerment,My Job,Effectif,Habilitation,Mon travail
A_Q20,Employee engagement,Employee engagement,My Job,Mobilisation des employés,Mobilisation des employés,Mon travail
A_Q21,Workforce,Work-life balance and workload,My Job,Effectif,Équilibre travail-vie privée et charge de travail,Mon travail
A_Q22a,Workplace,Organizational performance,My Job,Milieu de travail,Rendement organisationnel,Mon travail
A_Q22b,Workplace,Organizational performance,My Job,Milieu de travail,Rendement organisationnel,Mon travail
A_Q22c,Workplace,Organizational performance,My Job,Milieu de travail,Rendement organisationnel,Mon travail
A_Q22d,Workplace,Organizational performance,My Job,Milieu de travail,Rendement organisationnel,Mon travail
A_Q22e,Workplace,Organizational performance,My Job,Milieu de travail,Rendement organisationnel,Mon travail
A_Q22f,Workplace,Organizational performance,My Job,Milieu de travail,Rendement organisationnel,Mon travail
A_Q22g,Workplace,Organizational performance,My Job,Milieu de travail,Rendement organisationnel,Mon travail
B_Q23,Workplace,Use of official languages,My Work Unit,Milieu de travail,Utilisation des langues officielles,Mon unité de travail
B_Q24,Workplace,Ethical workplace,My Work Unit,Milieu de travail,Milieu de travail éthique,Mon unité de travail
B_Q25,Workplace,Respectful workplace,My Work Unit,Milieu de travail,Milieu de travail respectueux,Mon unité de travail
B_Q26,Workforce,Staffing,My Work Unit,Effectif,Dotation,Mon unité de travail
B_Q27,Workforce,Staffing,My Work Unit,Effectif,Dotation,Mon unité de travail
B_Q28,Workforce,Performance management,My Work Unit,Effectif,Gestion du rendement,Mon unité de travail
B_Q29,Workplace,Respectful workplace,My Work Unit,Milieu de travail,Milieu de travail respectueux,Mon unité de travail
C_Q30,Leadership,Immediate supervisor,My Immediate Supervisor,Leadership,Superviseur immédiat,Mon (ma) superviseur(e) immédiat(e)
C_Q30,Workforce,Performance management,My Immediate Supervisor,Effectif,Gestion du rendement,Mon (ma) superviseur(e) immédiat(e)
C_Q31,Leadership,Immediate supervisor,My Immediate Supervisor,Leadership,Superviseur immédiat,Mon (ma) superviseur(e) immédiat(e)
C_Q32,Leadership,Immediate supervisor,My Immediate Supervisor,Leadership,Superviseur immédiat,Mon (ma) superviseur(e) immédiat(e)
C_Q33,Workplace,Use of official languages,My Immediate Supervisor,Milieu de travail,Utilisation des langues officielles,Mon (ma) superviseur(e) immédiat(e)
C_Q34,Workforce,Work-life balance and workload,My Immediate Supervisor,Effectif,Équilibre travail-vie privée et charge de travail,Mon (ma) superviseur(e) immédiat(e)
C_Q35,Workplace well-being,A psychologically healthy workplace,My Immediate Supervisor,Bien-être en milieu de travail,Milieu de travail sain sur le plan psychologique,Mon (ma) superviseur(e) immédiat(e)
C_Q36,Workplace well-being,A psychologically healthy workplace,My Immediate Supervisor,Bien-être en milieu de travail,Milieu de travail sain sur le plan psychologique,Mon (ma) superviseur(e) immédiat(e)
C_Q37,Leadership,Immediate supervisor,My Immediate Supervisor,Leadership,Superviseur immédiat,Mon (ma) superviseur(e) immédiat(e)
D_Q39,Workforce,Performance management,Senior Management,Effectif,Gestion du rendement,La haute direction
D_Q40,Leadership,Senior management,Senior Management,Leadership,Haute direction,La haute direction
D_Q41,Leadership,Senior management,Senior Management,Leadership,Haute direction,La haute direction
D_Q42,Leadership,Senior management,Senior Management,Leadership,Haute direction,La haute direction
D_Q43,Leadership,Senior management,Senior Management,Leadership,Haute direction,La haute direction
D_Q44,Leadership,Senior management,Senior Management,Leadership,Haute direction,La haute direction
E_Q45,Workplace,Organizational goals,My Organization,Milieu de travail,Objectifs organisationnels,Mon organisation
E_Q46,Workplace,Ethical workplace,My Organization,Milieu de travail,Milieu de travail éthique,Mon organisation
E_Q47,Workplace,Ethical workplace,My Organization,Milieu de travail,Milieu de travail éthique,Mon organisation
E_Q48,Workplace,Ethical workplace,My Organization,Milieu de travail,Milieu de travail éthique,Mon organisation
E_Q49,Workplace,Ethical workplace,My Organization,Milieu de travail,Milieu de travail éthique,Mon organisation
E_Q50,Workplace,Use of official languages,My Organization,Milieu de travail,Utilisation des langues officielles,Mon organisation
E_Q51,Workplace,Use of official languages,My Organization,Milieu de travail,Utilisation des langues officielles,Mon organisation
E_Q52,Workforce,Job fit and development,My Organization,Effectif,Compatibilité entre la personne et l'emploi et perfectionnement,Mon organisation
E_Q53,Workforce,Job fit and development,My Organization,Effectif,Compatibilité entre la personne et l'emploi et perfectionnement,Mon organisation
E_Q54,Workforce,Empowerment,My Organization,Effectif,Habilitation,Mon organisation
E_Q55,Workplace,Respectful workplace,My Organization,Milieu de travail,Milieu de travail respectueux,Mon organisation
E_Q56,Workplace,Respectful workplace,My Organization,Milieu de travail,Milieu de travail respectueux,Mon organisation
E_Q57,Workplace,Respectful workplace,My Organization,Milieu de travail,Milieu de travail respectueux,Mon organisation
E_Q57,Employee engagement,Employee engagement,My Organization,Mobilisation des employés,Mobilisation des employés,Mon organisation
E_Q58,Employee engagement,Employee engagement,My Organization,Mobilisation des employés,Mobilisation des employés,Mon organisation
E_Q59,Employee engagement,Employee engagement,My Organization,Mobilisation des employés,Mobilisation des employés,Mon organisation
E_Q60,Employee engagement,Employee engagement,My Organization,Mobilisation des employés,Mobilisation des employés,Mon organisation
F_Q61,Workforce,Retention,Mobility and Retention,Effectif,Maintien en poste,Mobilité et maintien en poste
F_Q62,Workforce,Retention,Mobility and Retention,Effectif,Maintien en poste,Mobilité et maintien en poste
G_Q63,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q64a,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q64b,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q64c,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q64d,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q64e,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q64f,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q64g,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65a,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65b,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65c,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65d,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65e,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
